Name,Date of 10k Filing,Negative,Neutral,Positive,Compound
MSFT,2022-07-28T16:06:19-04:00,0.05932775453277544,0.8251338912133898,0.1155467224546721,0.1611906555090656
MSFT,2021-07-29T16:21:55-04:00,0.06057002801120445,0.8222829131652657,0.11713305322128835,0.16001792717086835
MSFT,2020-07-30T20:44:46-04:00,0.0561103633916554,0.8232099596231497,0.12066890982503345,0.17944401076716016
MSFT,2019-08-01T16:09:55-04:00,0.05291977869986171,0.8242655601659751,0.1228132780082987,0.18661811894882438
MSFT,2018-08-03T11:03:33-04:00,0.051995873452544715,0.8299174690508934,0.11809766162310859,0.17612847317744137
MSFT,2017-08-02T16:15:01-04:00,0.051281869688385245,0.8440311614730884,0.10469688385269116,0.15451798866855518
MSFT,2016-07-28T16:12:18-04:00,0.04862200282087444,0.8475105782792673,0.10387447108603662,0.16979421720733426
MSFT,2015-07-31T15:07:52-04:00,0.04649333333333338,0.8466400000000002,0.10687259259259259,0.18677511111111117
MSFT,2014-07-31T17:16:52-04:00,0.044100550964187364,0.8470110192837472,0.10889669421487609,0.19886625344352626
MSFT,2013-07-30T16:14:49-04:00,0.04044699140401147,0.8490530085959889,0.11048424068767908,0.21932421203438401
